comparison_group,lm_id,cv,control_cv,tissue_abbreviation,metabolite,mz,covariates,main_class,logFC_se,pubchem_cid,chebi_id,tissue,logFC,kegg_id,is_meta,formula,selection_fdr,rt,p_value,adj_p_value,tscore,omics,is_standard,hmdb_id,assay,inchi_key,comparison_average_intensity,super_class,gene_symbol,reference_average_intensity,sex,is_targeted,tissue_code,dataset,refmet_name,meta_reg_het_p,site,neutral_mass,feature_id,sub_class
1w,,0.0990047,,skm-gn,,,,short-chain acids,0.18784273,,,gastrocnemius,0.23316321,c00186,True,,0.9594595,,0.21450667,1.0,,metabolomics,False,,"metab-t-tca, metab-u-rpneg, metab-u-ionpneg",,,organic acids,,,male,True,t55,metab,lactic acid,0.20403516,"mayo_metab-t-tca,umichigan_metab-u-rpneg,umichigan_metab-u-ionpneg",,lactic acid,short-chain acids
2w,,0.0990047,,skm-gn,,,,short-chain acids,0.18784273,,,gastrocnemius,0.02456387,c00186,True,,0.9594595,,0.8959586,1.0,,metabolomics,False,,"metab-t-tca, metab-u-rpneg, metab-u-ionpneg",,,organic acids,,,male,True,t55,metab,lactic acid,0.20403516,"mayo_metab-t-tca,umichigan_metab-u-rpneg,umichigan_metab-u-ionpneg",,lactic acid,short-chain acids
4w,,0.0990047,,skm-gn,,,,short-chain acids,0.18784273,,,gastrocnemius,0.26254013,c00186,True,,0.9594595,,0.16221538,1.0,,metabolomics,False,,"metab-t-tca, metab-u-rpneg, metab-u-ionpneg",,,organic acids,,,male,True,t55,metab,lactic acid,0.20403516,"mayo_metab-t-tca,umichigan_metab-u-rpneg,umichigan_metab-u-ionpneg",,lactic acid,short-chain acids
8w,,0.0990047,,skm-gn,,,,short-chain acids,0.18784273,,,gastrocnemius,-0.11650759,c00186,True,,0.9594595,,0.53509974,1.0,,metabolomics,False,,"metab-t-tca, metab-u-rpneg, metab-u-ionpneg",,,organic acids,,,male,True,t55,metab,lactic acid,0.20403516,"mayo_metab-t-tca,umichigan_metab-u-rpneg,umichigan_metab-u-ionpneg",,lactic acid,short-chain acids
1w,,0.0990047,,skm-gn,,,,short-chain acids,0.19844005,,,gastrocnemius,0.087118514,c00186,True,,0.9594595,,0.66064936,1.0,,metabolomics,False,,"metab-t-tca, metab-u-rpneg, metab-u-ionpneg",,,organic acids,,,female,True,t55,metab,lactic acid,0.20403516,"mayo_metab-t-tca,umichigan_metab-u-rpneg,umichigan_metab-u-ionpneg",,lactic acid,short-chain acids
2w,,0.0990047,,skm-gn,,,,short-chain acids,0.19844005,,,gastrocnemius,0.13538682,c00186,True,,0.9594595,,0.49507737,1.0,,metabolomics,False,,"metab-t-tca, metab-u-rpneg, metab-u-ionpneg",,,organic acids,,,female,True,t55,metab,lactic acid,0.20403516,"mayo_metab-t-tca,umichigan_metab-u-rpneg,umichigan_metab-u-ionpneg",,lactic acid,short-chain acids
4w,,0.0990047,,skm-gn,,,,short-chain acids,0.19844005,,,gastrocnemius,-0.118641175,c00186,True,,0.9594595,,0.5499273,1.0,,metabolomics,False,,"metab-t-tca, metab-u-rpneg, metab-u-ionpneg",,,organic acids,,,female,True,t55,metab,lactic acid,0.20403516,"mayo_metab-t-tca,umichigan_metab-u-rpneg,umichigan_metab-u-ionpneg",,lactic acid,short-chain acids
8w,,0.0990047,,skm-gn,,,,short-chain acids,0.19844005,,,gastrocnemius,0.1848746,c00186,True,,0.9594595,,0.3515228,1.0,,metabolomics,False,,"metab-t-tca, metab-u-rpneg, metab-u-ionpneg",,,organic acids,,,female,True,t55,metab,lactic acid,0.20403516,"mayo_metab-t-tca,umichigan_metab-u-rpneg,umichigan_metab-u-ionpneg",,lactic acid,short-chain acids
1w,,0.021474507,0.021218035,plasma,phenylalanine,336.3,,amino acids and peptides,0.07053555,,,plasma,-0.07616239,c00079,False,,0.57355416,27.15,0.29136685,1.0,-1.0797731,metabolomics,False,,metab-t-amines,,5.7816043,organic acids,,5.8577666,male,True,t31,metab,phenylalanine,,mayo,165.079,phenylalanine,amino acids
2w,,0.021474507,0.021218035,plasma,phenylalanine,336.3,,amino acids and peptides,0.07053555,,,plasma,-0.09992807,c00079,False,,0.57355416,27.15,0.16988854,1.0,-1.4167051,metabolomics,False,,metab-t-amines,,5.7578387,organic acids,,5.8577666,male,True,t31,metab,phenylalanine,,mayo,165.079,phenylalanine,amino acids
4w,,0.021474507,0.021218035,plasma,phenylalanine,336.3,,amino acids and peptides,0.07053555,,,plasma,0.0113041205,c00079,False,,0.57355416,27.15,0.87406564,1.0,0.16026132,metabolomics,False,,metab-t-amines,,5.8690705,organic acids,,5.8577666,male,True,t31,metab,phenylalanine,,mayo,165.079,phenylalanine,amino acids
8w,,0.021474507,0.021218035,plasma,phenylalanine,336.3,,amino acids and peptides,0.07053555,,,plasma,0.014719384,c00079,False,,0.57355416,27.15,0.83652335,1.0,0.20868036,metabolomics,False,,metab-t-amines,,5.872486,organic acids,,5.8577666,male,True,t31,metab,phenylalanine,,mayo,165.079,phenylalanine,amino acids
1w,,0.021474507,0.021218035,plasma,phenylalanine,336.3,,amino acids and peptides,0.0614988,,,plasma,-0.023130208,c00079,False,,0.57355416,27.15,0.71034485,1.0,-0.37610832,metabolomics,False,,metab-t-amines,,5.628238,organic acids,,5.651368,female,True,t31,metab,phenylalanine,,mayo,165.079,phenylalanine,amino acids
2w,,0.021474507,0.021218035,plasma,phenylalanine,336.3,,amino acids and peptides,0.0614988,,,plasma,0.020723633,c00079,False,,0.57355416,27.15,0.73924494,1.0,0.33697623,metabolomics,False,,metab-t-amines,,5.672092,organic acids,,5.651368,female,True,t31,metab,phenylalanine,,mayo,165.079,phenylalanine,amino acids
4w,,0.021474507,0.021218035,plasma,phenylalanine,336.3,,amino acids and peptides,0.0614988,,,plasma,0.017347673,c00079,False,,0.57355416,27.15,0.78044873,1.0,0.28208148,metabolomics,False,,metab-t-amines,,5.668716,organic acids,,5.651368,female,True,t31,metab,phenylalanine,,mayo,165.079,phenylalanine,amino acids
8w,,0.021474507,0.021218035,plasma,phenylalanine,336.3,,amino acids and peptides,0.0614988,,,plasma,0.0316123,c00079,False,,0.57355416,27.15,0.61222124,1.0,0.51403123,metabolomics,False,,metab-t-amines,,5.6829805,organic acids,,5.651368,female,True,t31,metab,phenylalanine,,mayo,165.079,phenylalanine,amino acids
